MZ1257RC-Sora2,Erk,EGFR,p70,Akt,IGFR
20m,298,103,228,422,50
40m,301,115,241.5,876.5,47
1h,489,154,357,1006.5,40
1.5h,346,131,290,735,37
2h,366,120,293,694.5,41
4h,476,135,323,721,36
8h,508,154.5,351,1086,50
12h,390,128,279,854,45
24h,227,95,171,679,42
36h,63,48,80,302.5,33
36hun,185,91.5,164,364,31
