MZ1851RC-DMSO2,Erk,EGFR,p70,Akt,IGFR
20m,714,175,359,2441,99
40m,573,139,284,2030.5,98
1h,531,164,288,1782,84
1.5h,615,194.5,357.5,1845,86
2h,467.5,157,299,1422.5,96
4h,591,176.5,297,1571,79.5
8h,552.5,188,346,2438,91
12h,425,159,317.5,1773,77
24h,454,163,335,2490,114
36h,240,132,231,1508,100
36hun,258,130,245,1546.5,101
