MZ1851RC-DMSO1,Erk,EGFR,p70,Akt,IGFR
20m,737,223,498.5,2468.5,221
40m,664,223,449.5,2572,227.5
1h,601,161,328,1850.5,178
1.5h,508,202,329,1658,202
2h,439,156,296,1552,162
4h,350,127,236,874,135
8h,221.5,102.5,185,476,137
12h,217,91.5,184,600,117
24h,84,60,80,879.5,90
36h,61,53,72,286,125
36hun,65,48,70,200,165
