MZ1851RC-Sora1,Erk,EGFR,p70,Akt,IGFR
20m,307.5,118,230,540.5,176
40m,460.5,169,344,1941,210
1h,518,200,386.5,2504,247
1.5h,452,160,327.5,2289,195.5
2h,455.5,146,319,1861,223
4h,255,101,205,820,181.5
8h,232,84,161,517.5,181
12h,200.5,70,152,623.5,139
24h,22,42,16,39,59
36h,23.5,40.5,15,38,52
36hun,65,48,70,200,165
