MZ1257RC-DMSO1,Erk,EGFR,p70,Akt,IGFR
20m,491,178.5,355,659,58
40m,383.5,143.5,305,787,51
1h,386,138.5,308,665,49
1.5h,387,155,350,817.5,48
2h,379,152.5,357.5,847,51
4h,446.5,188.5,424,973,49
8h,346,153.5,313,468,56
12h,264,137.5,279,449.5,48
24h,168,103,176,411,44
36h,156,127,214.5,169.5,42
36hun,92,54,117.5,86.5,45
