MZ1257RC-Sora1,Erk,EGFR,p70,Akt,IGFR
20m,353.5,136,278,569,48
40m,157,81,149,444.5,49
1h,160.5,83,142,365,44
1.5h,204,128,231,430,50
2h,253,160,290,557,46
4h,196,139,205,411,44
8h,288.5,224,335,434,55
12h,67,67,94.5,115,51
24h,73,67,84,345.5,53
36h,39.5,56,49,82,48
36hun,92,54,117.5,86.5,45
