MZ1851RC-Sora2,Erk,EGFR,p70,Akt,IGFR
20m,629,170,370.5,2133,140
40m,577,167,305,2218,116
1h,567,186.5,323.5,2012,111
1.5h,545,199,330,1962,103
2h,439,157.5,327,1588.5,106
4h,535.5,189.5,304,1402,82
8h,801,189,366.5,1728.5,171
12h,739,219,400,1564,169.5
24h,472,147.5,266,2005,205.5
36h,223,101,185,1296,223
36hun,258,130,245,1546.5,101
