MZ1257RC-DMSO2,Erk,EGFR,p70,Akt,IGFR
20m,358,121,257,442.5,47
40m,350.5,125.5,267,584,42
1h,464,122.5,303,834,42
1.5h,314,108,204,653,35
2h,339.5,121,232,542,36
4h,524,136,294,748.5,35
8h,484,141.5,295,927,41
12h,537,157,402,999,38
24h,439,136,314,945,36
36h,131,85,166.5,455,33
36hun,185,91.5,164,364,31
